query,scope,frequency,frequency_conflict,cluster,canonical,decision,seeds,operator_queries
"тв приставка для телевизора","broad","58178","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"заставка на экран","broad","51934","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"тв программа онлайн","broad","50044","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"тв программа онлайн","ordered_phrase","50044","false","Требует ручной оценки","","review","как раздать интернет на телевизор | телевизор без интернета","""[как раздать интернет на телевизор]"" | ""[телевизор без интернета]"""
"большой телевизор","broad","49858","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"что такое онлайн","ordered_phrase","46324","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"установить тв","broad","45034","false","Требует ручной оценки","","review","телевизор крепление","телевизор крепление"
"купить пульт для телевизора","broad","43933","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"тв ком","ordered_phrase","42974","false","Требует ручной оценки","","review","как подобрать пульт к телевизору","""[как подобрать пульт к телевизору]"""
"а тв","ordered_phrase","42561","false","Требует ручной оценки","","review","как подобрать пульт к телевизору","""[как подобрать пульт к телевизору]"""
"а тв","broad","42347","false","Требует ручной оценки","","review","трафик телевизор","трафик телевизор"
"tv онлайн","broad","37108","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"едим тв","ordered_phrase","36741","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"телевизор без пульта","broad","34755","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор с интернетом","broad","34632","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"размеры телевизоров в дюймах","broad","32974","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"кабельное тв","broad","32941","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"вид онлайн","ordered_phrase","32893","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"телевизор через hdmi","broad","31972","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"тв кабель","broad","31461","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"диагонали телевизоров в дюймах","broad","31166","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"настрой пульт телевизора","broad","30359","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"см тв","broad","29066","false","Требует ручной оценки","","review","телевизор интернет | трафик телевизор","телевизор интернет | трафик телевизор"
"дюйм это сколько в см","ordered_phrase","28722","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"tv online","broad","27846","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"крепление для телевизора","broad","27539","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"телевизор через интернет","broad","27503","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"видео кабель","broad","26154","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"какому телевизору пульт","broad","25280","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"универсальный пульт для телевизора","broad","25135","false","Универсальный пульт","/kak-nastroit-universalnyy-pult-dlya-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"диагонали тв","broad","22876","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"как подключить пульт к телевизору","broad","22658","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"извлечь звук из видео","broad","22222","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"кнопки на пульте телевизора","broad","20945","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизионный кабель","broad","20295","false","Требует ручной оценки","","review","телевизор hdmi | телевизор пульт","телевизор hdmi | телевизор пульт"
"размеры телевизоров в см","broad","20175","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры телевизоров в см","ordered_phrase","20175","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","размеры телевизоров в см","""[размеры телевизоров в см]"""
"кино тв онлайн","broad","19862","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"размеры тв","broad","19815","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"скачать пульт для телевизора","broad","19326","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт управления телевизором","broad","19048","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размер телевизора 55","broad","18759","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор без интернета","broad","18237","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"телевизор без интернета","ordered_phrase","18237","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор без интернета","""[телевизор без интернета]"""
"онлайн кинотеатр бесплатно","ordered_phrase","18035","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"телевизор размеры в сантиметрах","broad","17946","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как подключить телевизор к интернету","broad","17738","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"телефон телевизор интернет","broad","17205","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"пульт для телевизора самсунг","broad","16779","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора lg","broad","16641","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизора экран звук","broad","15916","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"размер телевизора 65","broad","15549","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"хочу тв","ordered_phrase","14819","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"телевидение онлайн смотреть бесплатно прямой эфир","broad","14651","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"кино тв смотреть онлайн","broad","14394","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"кино тв смотреть онлайн","ordered_phrase","14394","false","Требует ручной оценки","","review","как раздать интернет на телевизор | телевизор без интернета | работает ли телевизор без интернета","""[как раздать интернет на телевизор]"" | ""[телевизор без интернета]"" | ""[работает ли телевизор без интернета]"""
"нам тв","ordered_phrase","13977","false","Требует ручной оценки","","review","как подобрать пульт к телевизору","""[как подобрать пульт к телевизору]"""
"как подключить hdmi к телевизору","broad","13872","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизионная приставка","broad","13679","false","Требует ручной оценки","","review","телевизор hdmi | телевизор пульт","телевизор hdmi | телевизор пульт"
"кронштейн для тв","broad","13511","false","Требует ручной оценки","","review","телевизор крепление","телевизор крепление"
"кронштейн для тв","ordered_phrase","13511","false","Требует ручной оценки","","review","болты для крепления телевизора","""[болты для крепления телевизора]"""
"размер телевизора 55 дюймов","broad","13316","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пульт телевизор тв","broad","13247","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор не реагирует на пульт","broad","13210","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"цифровое тв онлайн","broad","12906","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"пульт на телефон для телевизора","broad","12695","false","Пульт с телефона","/kak-upravlyat-televizorom-s-telefona/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"оне тв","broad","12236","false","Требует ручной оценки","","review","трафик телевизор","трафик телевизор"
"размер высота телевизора","broad","12217","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"настройка пульта телевизора","broad","11960","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размеры телевизоров высота ширина","broad","11772","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"кабель для тв","broad","11762","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"нет звука на телевизоре","broad","11585","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"1тв онлайн","broad","11577","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"интернет приставка для телевизора","broad","11508","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"пульт настроен на телевизор","broad","11421","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как подключить телевизор через hdmi","broad","11356","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"почему пульт телевизора","broad","11152","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизор канал","broad","10894","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"ноутбук hdmi телевизор","broad","10838","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"цифровое тв смотреть онлайн","broad","10552","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"цифровое тв смотреть онлайн","ordered_phrase","10552","false","Требует ручной оценки","","review","как раздать интернет на телевизор | телевизор без интернета | работает ли телевизор без интернета","""[как раздать интернет на телевизор]"" | ""[телевизор без интернета]"" | ""[работает ли телевизор без интернета]"""
"как включить телевизор без пульта","broad","10422","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"карта памяти для камеры","broad","10379","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"крепление для телевизора на стену","broad","10220","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"размер телевизора 65 дюймов","broad","10134","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пультик","broad","9917","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"смотреть телик","ordered_phrase","9625","false","Требует ручной оценки","","review","как подобрать пульт к телевизору","""[как подобрать пульт к телевизору]"""
"звук телевизора через","broad","9474","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"в б онлайн","ordered_phrase","9363","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"смарт телевизор интернет","broad","9359","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"размеры телевизоров в дюймах и сантиметрах","broad","9341","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пропал звук на телевизоре","broad","9148","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"размер телевизора 32","broad","8896","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размер телевизора 43","broad","8813","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"диагональ что это","ordered_phrase","8676","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"как настроить пульт к телевизору","broad","8666","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор через пульт","broad","8606","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размер телевизора 50","broad","8370","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизионные передачи","broad","8342","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как настроить тв приставку","ordered_phrase","8284","false","Требует ручной оценки","","review","настройка универсального пульта для телевизора","""[настройка универсального пульта для телевизора]"""
"самый большой телевизор","broad","8269","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"кронштейн для камеры","broad","8244","false","Требует ручной оценки","","review","телевизор крепление","телевизор крепление"
"подходящие пульты к телевизору","broad","8179","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размер экрана телевизора","broad","7994","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры телевизора 75","broad","7991","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"32 диагональ в см","ordered_phrase","7956","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"как подключить телевизор через интернет","broad","7926","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"все телеканалы онлайн","broad","7915","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"муз тв заставка","broad","7870","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"вместе тв","ordered_phrase","7851","false","Требует ручной оценки","","review","как подобрать пульт к телевизору","""[как подобрать пульт к телевизору]"""
"смарт тв это","broad","7809","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"флешка для телевизора","broad","7776","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"тв поиск","ordered_phrase","7603","false","Требует ручной оценки","","review","как подобрать пульт к телевизору","""[как подобрать пульт к телевизору]"""
"кино тв прямой эфир","broad","7576","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"скоба крепежная","ordered_phrase","7552","false","Требует ручной оценки","","review","болты для крепления телевизора","""[болты для крепления телевизора]"""
"размеры телевизора ширина сантиметры","broad","7492","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"интерактивное тв","ordered_phrase","7330","false","Требует ручной оценки","","review","работает ли телевизор без интернета","""[работает ли телевизор без интернета]"""
"кронштейн vesa","broad","7281","false","Требует ручной оценки","","review","телевизор крепление","телевизор крепление"
"кронштейн vesa","ordered_phrase","7281","false","Требует ручной оценки","","review","болты для крепления телевизора","""[болты для крепления телевизора]"""
"компьютер телевизор hdmi","broad","7175","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"скачать пульт для телевизора на телефон","broad","7053","false","Пульт с телефона","/kak-upravlyat-televizorom-s-telefona/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"где купить пульт для телевизора","broad","7023","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"бесплатный пульт для телевизора","broad","6922","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как привязать пульт к телевизору","broad","6921","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"ширина в сантиметрах размеры телевизоров дюймах","broad","6704","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"настройка тв приставки","ordered_phrase","6581","false","Требует ручной оценки","","review","как настроить универсальный пульт к телевизору","""[как настроить универсальный пульт к телевизору]"""
"пульт для телевизора андроид","broad","6571","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор 32 дюйма размеры","broad","6521","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пульт для телевизора dexp","broad","6512","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телик онлайн","broad","6506","false","Требует ручной оценки","","review","телевизор интернет | скорость интернета телевизор","телевизор интернет | скорость интернета телевизор"
"пульт переключает телевизор","broad","6453","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для смарт телевизора","broad","6323","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"какой пульт подойдет к телевизору","broad","6301","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"к телеком телефон","ordered_phrase","6196","false","Требует ручной оценки","","review","раздать интернет с телефона на телевизор","""[раздать интернет с телефона на телевизор]"""
"интернет магазин телевизоров","broad","6189","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"кронштейн для крепления телевизора","broad","6186","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"телевизор 43 дюйма размеры","broad","6115","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"таблица размеров телевизоров","broad","6054","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"какой телевизор интернет","broad","6029","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор 50 дюймов размеры","broad","5999","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"кино тв онлайн прямой эфир","broad","5956","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"кино тв онлайн прямой эфир","ordered_phrase","5946","false","Требует ручной оценки","","review","какая скорость интернета нужна для телевизора","""[какая скорость интернета нужна для телевизора]"""
"магнитола с выдвижным экраном","broad","5896","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"скачать бесплатно пульт для телевизора","broad","5871","false","Требует ручной оценки","","exclude","телевизор пульт","телевизор пульт"
"телевизор smart пульт","broad","5796","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"приложение пульт для телевизора","broad","5570","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как раздать интернет на телевизор","broad","5559","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"как раздать интернет на телевизор","ordered_phrase","5559","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","как раздать интернет на телевизор","""[как раздать интернет на телевизор]"""
"подключение hdmi к телевизору","broad","5508","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор 75 дюймов размеры","broad","5477","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"что такое смарт тв","broad","5469","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"не работает пульт от телевизора","broad","5463","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизорус","broad","5459","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор через hdmi кабель","broad","5335","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"размеры телевизоров длина","broad","5320","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"крепежная планка","ordered_phrase","5290","false","Требует ручной оценки","","review","болты для крепления телевизора","""[болты для крепления телевизора]"""
"кино тв смотреть онлайн прямой эфир","broad","5267","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"смарт тв что это","ordered_phrase","5266","false","Требует ручной оценки","","review","телевизор без интернета","""[телевизор без интернета]"""
"кино тв смотреть онлайн прямой эфир","ordered_phrase","5259","false","Требует ручной оценки","","review","какая скорость интернета нужна для телевизора","""[какая скорость интернета нужна для телевизора]"""
"как настроить пульт huayu","ordered_phrase","5238","false","Требует ручной оценки","","review","настройка универсального пульта для телевизора","""[настройка универсального пульта для телевизора]"""
"звук идущего телевизора","broad","5218","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"пульт онлайн для телевизора","broad","5204","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"раздать интернет с телефона на телевизор","broad","5200","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"раздать интернет с телефона на телевизор","ordered_phrase","5200","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","раздать интернет с телефона на телевизор","""[раздать интернет с телефона на телевизор]"""
"размеры телевизоров в см ширина","broad","5100","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пульт ду для телевизора","broad","5088","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"см тв онлайн","ordered_phrase","5055","false","Требует ручной оценки","","review","какая скорость интернета нужна для телевизора","""[какая скорость интернета нужна для телевизора]"""
"клипса крепежная","ordered_phrase","5039","false","Требует ручной оценки","","review","болты для крепления телевизора","""[болты для крепления телевизора]"""
"тв каналы онлайн бесплатно смотреть на телефоне","ordered_phrase","5012","false","Требует ручной оценки","","exclude","раздать интернет с телефона на телевизор","""[раздать интернет с телефона на телевизор]"""
"hdmi кабель для телевизора","broad","4990","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"не включается телевизор с пульта","broad","4972","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора филипс","broad","4927","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора samsung","broad","4924","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"настройка смарт тв","ordered_phrase","4902","false","Требует ручной оценки","","review","как настроить универсальный пульт к телевизору","""[как настроить универсальный пульт к телевизору]"""
"телевизор пульт нажать","broad","4880","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"кронштейн для антенны","broad","4879","false","Требует ручной оценки","","review","телевизор крепление","телевизор крепление"
"телек онлайн","ordered_phrase","4790","false","Требует ручной оценки","","review","какая скорость интернета нужна для телевизора","""[какая скорость интернета нужна для телевизора]"""
"телек онлайн","broad","4753","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
